"","coc_number","total_population_ORIG","total_pop_in_poverty_ORIG","total_population_NEW","total_pop_in_poverty_NEW","total_population_DIFF","total_pop_in_poverty_DIFF"
"1","AK-500",299321,23652,299321,23652,0,0
"2","AK-501",437534,49174,437534,49174,0,0
"3","AL-500",951623,145559,972607,147652,2.20507490886622,2.20507490886622
"4","AL-501",613801,104184,613801,104184,0,0
"5","AL-502",266276,48791,266276,48791,0,0
"6","AL-503",559785,76749,559785,76749,0,0
"7","AL-504",384515,70305,384515,70305,0,0
"8","AL-505",NA,NA,NA,NA,NA,NA
"9","AL-506",202471,34470,202471,34470,0,0
"10","AL-507",1523472,323080,1559994,329930,2.39728724912568,2.39728724912568
"11","AR-500",586996,89325,586996,89325,0,0
"12","AR-501",514338,76277,514338,76277,0,0
"13","AR-503",858639,171367,880486,175351,2.54437545930245,2.54437545930245
"14","AR-504",357191,70612,357191,70612,0,0
"15","AR-505",307730,67743,307730,67743,0,0
"16","AR-508",NA,NA,NA,NA,NA,NA
"17","AR-512",102685,16942,102685,16942,0,0
"18","AZ-500",1631977,312052,1631977,312052,0,0
"19","AZ-501",1003338,186299,1003338,186299,0,0
"20","AZ-502",4093262,667285,4093262,667285,0,0
"21","CA-500",1885056,172213,1885056,172213,0,0
"22","CA-501",850282,104180,850282,104180,0,0
"23","CA-502",1605217,189590,1605217,189590,0,0
"24","CA-503",1479300,260877,1479300,260877,0,0
"25","CA-504",497776,55095,497776,55095,0,0
"26","CA-505",1107925,111922,1107925,111922,0,0
"27","CA-506",488252,72513,488252,72513,0,0
"28","CA-507",259358,20445,259358,20445,0,0
"29","CA-508",270931,39211,270931,39211,0,0
"30","CA-509",87409,17366,87409,17366,0,0
"31","CA-510",530561,95739,530561,95739,0,0
"32","CA-511",714860,124587,714860,124587,0,0
"33","CA-512",754748,57490,754748,57490,0,0
"34","CA-513",606030,155791,606030,155791,0,0
"35","CA-514",1116526,286915,1116526,286915,0,0
"36","CA-515",469210,43767,469210,43767,0,0
"37","CA-516",313187,53404,313187,53404,0,0
"38","CA-517",140823,12086,140823,12086,0,0
"39","CA-518",429596,53265,429596,53265,0,0
"40","CA-519",223877,46456,223877,46456,0,0
"41","CA-520",265001,62661,265001,62661,0,0
"42","CA-521",209671,38898,209671,38898,0,0
"43","CA-522",135182,27641,135182,27641,0,0
"44","CA-523",62517,11044,62517,11044,0,0
"45","CA-524",169303,31615,169303,31615,0,0
"46","CA-525",183000,17839,183000,17839,0,0
"47","CA-526",153259,19350,153259,19350,0,0
"48","CA-527",63015,13363,63015,13363,0,0
"49","CA-529",64076,15561,64076,15561,0,0
"50","CA-530",33561,3348,33561,3348,0,0
"51","CA-600",9246562,1619264,9259226,1620473,0.136959012441597,0.136959012441597
"52","CA-601",3253356,444024,3253356,444024,0,0
"53","CA-602",3132211,385556,3132211,385556,0,0
"54","CA-603",439395,66880,439395,66880,0,0
"55","CA-604",871337,194354,871337,194354,0,0
"56","CA-606",475317,94233,462653,93024,-2.66432717533772,-2.66432717533772
"57","CA-607",137381,21680,137381,21680,0,0
"58","CA-608",2323892,376689,2323892,376689,0,0
"59","CA-609",2106754,392195,2106754,392195,0,0
"60","CA-611",843110,88486,843110,88486,0,0
"61","CA-612",197895,28904,197895,28904,0,0
"62","CA-613",178807,40552,178807,40552,0,0
"63","CA-614",278680,37208,278680,37208,0,0
"64","CO-500",1683718,230698,1683718,230698,0,0
"65","CO-503",2997276,330327,3005266,332946,0.266575383781807,0.266575383781807
