"county_fips","coc_number","coc_name","coc_name_PIT","in_2017_shapefile","in_2017_PIT","n_cocs_in_county","n_counties_in_coc","mult_county_mult_coc","rel_type","pct_cnty_pop_coc","pct_cnty_pov_coc","source"
1015,"AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,16.1481839441506,11.0548904449966,"Original"
1049,"AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,16.5104247430819,13.5524798154556,"Original"
1055,"AL-507","Alabama Balance of State CoC","Alabama Balance of State CoC","Yes","Yes",1,45,0,2,4.90504339076846,7.88756479452787,"Original"
1073,"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
1115,"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
1117,"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
5019,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5029,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5031,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5033,"AR-501","Fayetteville/Northwest Arkansas CoC","Fayetteville/Northwest Arkansas CoC","Yes","Yes",1,5,0,2,9.24637072682352,7.23174658428335,"Original"
5035,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5045,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5047,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,39.2831057924602,52.4972855591748,"Original"
5051,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5055,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5057,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5059,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5061,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5071,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5073,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5081,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5091,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5093,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5097,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5099,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5105,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5107,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5109,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5111,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5113,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,31.3060620995564,26.3168277766818,"Original"
5115,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5131,"OK-507","Southeastern Oklahoma Regional CoC","Southeastern Oklahoma Regional CoC","Yes","Yes",1,22,0,2,5.36627117180077,3.60785727158046,"Original"
5133,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
5149,"AR-503","Arkansas Balance of State CoC","Arkansas  Balance of State  CoC","Yes","Yes",1,26,0,2,100,100,"Original"
6037,"CA-600","Los Angeles City & County CoC","Los Angeles City & County CoC","Yes","Yes",4,1,0,3,91.9401361518242,91.7907964543578,"Original"
6037,"CA-606","Long Beach CoC","Long Beach CoC","Yes","Yes",4,1,0,3,4.72615764597443,5.34176151775344,"Original"
6075,"CA-501","San Francisco CoC","San Francisco CoC","Yes","Yes",1,1,0,1,100,100,"Original"
6081,"CA-512","Daly City/San Mateo County CoC","Daly/San Mateo County CoC","Yes","Yes",1,1,0,1,100,100,"Original"
8001,"CO-503","Metropolitan Denver CoC","Metropolitan Denver Homeless Initiative","Yes","Yes",1,7,0,2,97.2644522550039,93.6325797763813,"Original"
9001,"CT-503","Bridgeport, Stamford, Norwalk/Fairfield County CoC","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Yes","Yes",2,1,0,3,91.09086699702,88.9813985996836,"Original"
12001,"FL-508","Gainesville/Alachua, Putnam Counties CoC","Gainesville/Alachua, Putnam Counties CoC","Yes","Yes",1,5,0,2,100,100,"Original"
12003,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,26.8087287639133,28.9473684210526,"Original"
12007,"FL-508","Gainesville/Alachua, Putnam Counties CoC","Gainesville/Alachua, Putnam Counties CoC","Yes","Yes",1,5,0,2,100,100,"Original"
12019,"FL-510","Jacksonville-Duval, Clay Counties CoC","Jacksonville-Duval, Clay Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
12023,"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Yes","Yes",1,4,0,2,100,100,"Original"
12031,"FL-510","Jacksonville-Duval, Clay Counties CoC","Jacksonville-Duval, Clay Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
12041,"FL-508","Gainesville/Alachua, Putnam Counties CoC","Gainesville/Alachua, Putnam Counties CoC","Yes","Yes",1,5,0,2,100,100,"Original"
12047,"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Yes","Yes",1,4,0,2,100,100,"Original"
12067,"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Yes","Yes",1,4,0,2,100,100,"Original"
12075,"FL-508","Gainesville/Alachua, Putnam Counties CoC","Gainesville/Alachua, Putnam Counties CoC","Yes","Yes",1,5,0,2,100,100,"Original"
12089,"FL-510","Jacksonville-Duval, Clay Counties CoC","Jacksonville-Duval, Clay Counties CoC","Yes","Yes",1,3,0,2,100,100,"Original"
12107,"FL-508","Gainesville/Alachua, Putnam Counties CoC","Gainesville/Alachua, Putnam Counties CoC","Yes","Yes",1,5,0,2,100,100,"Original"
12121,"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Yes","Yes",1,4,0,2,100,100,"Original"
13001,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13003,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13005,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13007,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13009,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13011,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13013,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13015,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13017,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13019,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13021,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13023,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13025,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
13027,"GA-501","Georgia Balance of State CoC","Georgia Balance of State CoC","Yes","Yes",1,153,0,2,100,100,"Original"
