"coc_number","coc_name","coc_name_PIT","tract_fips","in_2017_shapefile","in_2017_PIT","total_population","total_pop_in_poverty","source"
"CA-606","Long Beach CoC","Long Beach CoC",6037544002,"Yes","Yes",3332,271,"Original"
"CA-606","Long Beach CoC","Long Beach CoC",6037577603,"Yes","Yes",7964,876,"Original"
"CA-606","Long Beach CoC","Long Beach CoC",6037577604,"Yes","Yes",1368,62,"Original"
"IL-510","Chicago CoC","Chicago CoC",17043840000,"Yes","Yes",2835,283,"Original"
"IL-502","Waukegan, North Chicago/Lake County CoC","Waukegan/North Chicago/Lake County CoC",17089850201,"Yes","Yes",4311,789,"Original"
"IL-506","Joliet, Bolingbrook/Will County CoC","Joliet/Bolingbrook/Will County CoC",17197880118,"Yes","Yes",4671,106,"Original"
"IA-501","Iowa Balance of State CoC","Iowa Balance of State CoC",19181020100,"Yes","Yes",2096,123,"Original"
"LA-509","Louisiana Balance of State CoC","Louisiana Balance of State (BoS)",22087990000,"Yes","Yes",0,0,"Original"
"MD-508","Charles, Calvert, St. Mary's Counties CoC","Charles, Calvert, St.Mary's Counties CoC",24037990000,"Yes","Yes",0,0,"Original"
"MD-513","Wicomico, Somerset, Worcester Counties CoC","Wicomico/Somerset/Worcester County CoC",24039990100,"Yes","Yes",0,0,"Original"
"MI-508","Lansing, East Lansing/Ingham County CoC","Lansing/East Lansing/Ingham County CoC",26037010204,"Yes","Yes",1803,224,"Original"
"MI-500","Michigan Balance of State CoC","Michigan Balance of State CoC",26037011200,"Yes","Yes",2672,2076,"Original"
"MN-502","Rochester/Southeast Minnesota CoC","Rochester/Southeast Minnesota CoC",27131070602,"Yes","Yes",5065,182,"Original"
"MO-604","Kansas City (MO&KS), Independence, Leeâ€™s Summit/Jackson, Wyandotte Counties CoC","Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",29047021803,"Yes","Yes",8250,64,"Original"
"MO-606","Missouri Balance of State CoC","Missouri Balance of State CoC",29047022200,"Yes","Yes",3825,457,"Original"
"NE-500","Nebraska Balance of State CoC","Nebraska Balance of State CoC",31109003608,"Yes","Yes",1230,60,"Original"
"NE-500","Nebraska Balance of State CoC","Nebraska Balance of State CoC",31109003714,"Yes","Yes",2658,59,"Original"
"NM-501","New Mexico Balance of State CoC","New Mexico Balance of State CoC",35001000604,"Yes","Yes",4229,1308,"Original"
"NM-500","Albuquerque CoC","Albuquerque CoC",35001000710,"Yes","Yes",7273,395,"Original"
"NM-500","Albuquerque CoC","Albuquerque CoC",35001002300,"Yes","Yes",8558,2210,"Original"
"NM-500","Albuquerque CoC","Albuquerque CoC",35001002500,"Yes","Yes",2803,1110,"Original"
